Product ID,Brand,Product Name,Product Number,Description,Dealer,MSRP,MAP,Primary Distributor,Secondary Distributor,Tertiary Distributor,Spec Sheet URL,Image URL
PROD11130,DAS AUDIO,PL-ALTEA-DUO-10A,10113990," Wooden transport dolly for ALTEA-DUO-10A, black",$87.48,$174.96,$126.00,Fulks Media Solutions,FDW,Gear Techs,,
PROD11131,DAS AUDIO,PL-ALTEA-DUO-20A,10113991," Wooden transport dolly for ALTEA-DUO-20A, black",$90.54,$181.08,$132.00,Fulks Media Solutions,FDW,Gear Techs,,
PROD11132,DAS AUDIO,ARCO-4-T,10404510," Passive, 50W (RMS) / 200W (Peak), 4”, Two-way, ABS enclosure, 70V / 100V line transformer, black",$113.33,$226.65,,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=86aba51749e4a9b1c1784f46c4e478d5&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/1/PF_ARCO4T_34_HR.png&w=330&h=330&fit=1
PROD11133,DAS AUDIO,ARCO-4-TW,10404530," Passive, 50W (RMS) / 200W (Peak), 4”, Two-way, ABS enclosure, 70V / 100V line transformer, white",$113.33,$226.65,,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=86aba51749e4a9b1c1784f46c4e478d5&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/1/PF_ARCO4TW_34_HR.png&w=330&h=330&fit=1
PROD11134,DAS AUDIO,ARCO-24-T,10404560," Passive, 100W (RMS) / 400W (Peak), 2 x 4”, Two-way, ABS enclosure, 70V / 100V line transformer, black",$154.34,$308.67,,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=18ba0947b6b563b21d907dc3d8b20c25&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/1/PF_ARCO24T_34_HR.png&w=330&h=330&fit=1
PROD11135,DAS AUDIO,ARCO-24-TW,10404570," Passive, 100W (RMS) / 400W (Peak), 2 x 4”, Two-way, ABS enclosure, 70V / 100V line transformer, white",$154.34,$308.67,,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=18ba0947b6b563b21d907dc3d8b20c25&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/1/PF_ARCO24TW_34_HR.png&w=330&h=330&fit=1
PROD11136,DAS AUDIO,ARCO-12SUB,10404640," Passive, 170W (RMS), Dual Voice Coil 2 x 12” mountable subwoofer, MDF enclosure, black",$430.22,$860.43,,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=0682f1e3b1604c7de4b565467af896d3&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/1/PF_ARCO12SUB_34_HR.png&w=330&h=330&fit=1
PROD11137,DAS AUDIO,KIT-IP-ARCO,10404660," IP54 kit for ARCO-4-T, ARCO-24-T",$11.54,$23.07,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11138,DAS AUDIO,KIT-IP-ARCO-W,10404670," IP54 kit for ARCO-4-TW, ARCO-24-TW, white",$11.54,$23.07,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11139,DAS AUDIO,AXA-AC,10104370," Vertical/Horizontal mounting kit for 2 cabinets of ARCO-4-T, ARCO-24-T",$22.70,$45.39,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11140,DAS AUDIO,AXA-AC-W,10104380," Vertical/Horizontal mounting kit for 2 cabinets of ARCO-4-TW, ARCO-24-TW, white",$22.70,$45.39,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11141,DAS AUDIO,AXU-AC4,10104330," “U” bracket, wall/ceiling/truss/tripod mount ARCO-4-T",$32.49,$64.98,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11142,DAS AUDIO,AXU-AC4-W,10104340," “U” bracket, wall/ceiling/truss/tripod mount ARCO-4-TW, white",$32.49,$64.98,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11143,DAS AUDIO,AXU-AC24,10104350," “U” bracket, wall/ceiling/truss/tripod mount ARCO-24-T",$34.77,$69.54,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11144,DAS AUDIO,AXU-AC24-W,10104360," “U” bracket, wall/ceiling/truss/tripod mount ARCO-24-TW, white",$34.77,$69.54,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11145,DAS AUDIO,ARTEC-306,10423800," Passive, 100W (RMS), 6”, two-way, wooden enclosure, 90° x 60° rotatable horn, black, “U” bracket included",$341.16,$682.32,,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=e4d386ad06d2aee3f1259ebe1ed5d0a6&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/8/PF_ARTEC306_34_HR.png&w=330&h=330&fit=1
